Correlation term,Integral,integrand w other com ommitted
<04><51><23>,-(0ta)(0ab),"(0*(GTt0-GTtb))[(b*(GTba-GTbt)),(a*(GTab))p[a,b]]-(0*(GTt0-GTtb))[a,(a*(GTab))[(b*(GTba-GTbt)),pb]]+[(b*(GTba-GTbt)),(0*(GTt0-GTtb))[a,(a*(GTab))p]b]+[a,(a*(GTab))(0*(GTt0-GTtb))[(b*(GTba-GTbt)),pb]]-[(b*(GTba-GTbt)),[a,(a*(GTab))(0*(GTt0-GTtb))pb]]"
<04><51><32>,-(0ta)(0ab),"-[(b*(GTba-GTbt)),(0*(GTt0-GTtb))][a,p(a*(-Gba))]b-[a,(0*(GTt0-GTtb))][(b*(GTba-GTbt)),pb](a*(-Gba))-(0*(GTt0-GTtb))[(b*(GTba-GTbt)),[a,pb(a*(-Gba))]]+[(b*(GTba-GTbt)),[a,(0*(GTt0-GTtb))pb(a*(-Gba))]]"
<05><13><24>,-(0ta)(0ab),"-(0*(GTt0-GTtb))[(a*(Gta)),[(b*(Gab-G0b)),a]bp]+(0*(GTt0-GTtb))[(b*(Gab-G0b)),b[(a*(Gta)),ap]]-[(a*(Gta)),a(0*(GTt0-GTtb))[(b*(Gab-G0b)),bp]]-[(b*(Gab-G0b)),b(0*(GTt0-GTtb))[(a*(Gta)),ap]]+[(a*(Gta)),[(b*(Gab-G0b)),ab(0*(GTt0-GTtb))p]]"
<05><13><42>,-(0ta)(0ab),"(0*(GTt0-GTtb))[(a*(Gta)),[(b*(GTb0-GTba)),a]pb]+[(b*(GTb0-GTba)),(0*(GTt0-GTtb))][(a*(Gta)),ap]b-[(a*(Gta)),[(b*(GTb0-GTba)),a(0*(GTt0-GTtb))]pb]"
<05><31><24>,-(0ta)(0ab),"(0*(GTt0-GTtb))[(a*(-GTat)),bp[(b*(Gab-G0b)),a]]-(0*(GTt0-GTtb))[(b*(Gab-G0b)),b[(a*(-GTat)),pa]]+[(a*(-GTat)),(0*(GTt0-GTtb))[(b*(Gab-G0b)),bp]a]+[(b*(Gab-G0b)),b(0*(GTt0-GTtb))[(a*(-GTat)),pa]]-[(a*(-GTat)),[(b*(Gab-G0b)),b(0*(GTt0-GTtb))pa]]"
<05><31><42>,-(0ta)(0ab),"[(a*(-GTat)),(0*(GTt0-GTtb))]pb[(b*(GTb0-GTba)),a]+[(a*(-GTat)),[(b*(GTb0-GTba)),(0*(GTt0-GTtb))]pba]-[(b*(GTb0-GTba)),(0*(GTt0-GTtb))][(a*(-GTat)),pa]b"
<02><14><35>,+(0ta)(0ab),"[(b*(Gtb-G0b)),(0*(GTt0-GTta))][a,b](a*(GTab))p"
<02><14><53>,+(0ta)(0ab),"-[(b*(Gtb-G0b)),(0*(GTt0-GTta))][a,b]p(a*(-Gba))"
<02><41><35>,+(0ta)(0ab),"-[(b*(GTb0-GTbt)),(0*(GTt0-GTta))](a*(GTab))p[a,b]"
<02><41><53>,+(0ta)(0ab),"[(b*(GTb0-GTbt)),(0*(GTt0-GTta))]p(a*(-Gba))[a,b]"
<02><15><34>,+(0ta)(0ab),"[(b*(Gtb-Gab)),(0*(GTt0-GTta))]([a,(a*(GTa0-GTab))bp]-b[a,(a*(GTa0-GTab))p])"
<02><15><43>,+(0ta)(0ab),"-[(b*(Gtb-Gab)),(0*(GTt0-GTta))][a,b]p(a*(Gba-G0a))"
<02><51><34>,+(0ta)(0ab),"-[(b*(GTba-GTbt)),(0*(GTt0-GTta))](a*(GTa0-GTab))p[a,b]"
<02><51><43>,+(0ta)(0ab),"[(b*(GTba-GTbt)),(0*(GTt0-GTta))]([a,pb(a*(Gba-G0a))]-[a,p(a*(Gba-G0a))]b)"
<04><13><25>,+(0ta)(0ab),"-(0*(GTt0-GTtb))[(a*(Gta)),[(b*(Gab-G0b)),a]bp]+[(a*(Gta)),[(b*(Gab-G0b)),a(0*(GTt0-GTtb))]bp]-[(b*(Gab-G0b)),(0*(GTt0-GTtb))]b[(a*(Gta)),ap]"
<04><13><52>,+(0ta)(0ab),"(0*(GTt0-GTtb))[(a*(Gta)),[(b*(GTb0-GTba)),a]pb]-[(a*(Gta)),[(b*(GTb0-GTba)),a(0*(GTt0-GTtb))]pb]+[(b*(GTb0-GTba)),(0*(GTt0-GTtb))][(a*(Gta)),ap]b"
<04><31><25>,+(0ta)(0ab),"-[(a*(-GTat)),[(b*(Gab-G0b)),(0*(GTt0-GTtb))]b]pa-[(a*(-GTat)),(0*(GTt0-GTtb))]bp[(b*(Gab-G0b)),a]"
<04><31><52>,+(0ta)(0ab),"[(a*(-GTat)),(0*(GTt0-GTtb))]pb[(b*(GTb0-GTba)),a]+[(a*(-GTat)),[(b*(GTb0-GTba)),(0*(GTt0-GTtb))]pba]-[(b*(GTb0-GTba)),(0*(GTt0-GTtb))][(a*(-GTat)),pa]b"
